danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,artist_popularity,year,artistFeatured,billboard
0.501,0.889,-5.175,0.0364,0.000147,0.0114,0.217,0.257,133.519,292880,82,85,1990,0,0
0.418,0.106,-22.507,0.0448,0.994,0.0292,0.179,0.8,46.718,85267,74,79,1990,0,0
0.742,0.863,-7.823,0.038,0.177,5.59E-06,0.0699,0.776,131.196,271133,71,85,1990,1,0
0.346,0.765,-8.558,0.0413,0.00229,7.54E-06,0.213,0.644,106.463,284427,73,74,1990,0,0
0.634,0.645,-9.2,0.0376,0.292,0,0.246,0.677,93.05,231173,69,66,1990,0,0
0.848,0.666,-6.547,0.274,0.173,0.000699,0.129,0.744,96.662,251573,71,71,1990,0,0
0.593,0.786,-3.596,0.0446,0.00216,0.000667,0.311,0.955,103.761,188067,70,65,1990,0,0
0.626,0.134,-14.898,0.0298,0.467,0,0.113,0.239,91.893,334107,68,66,1990,0,0
0.415,0.908,-9.701,0.0765,0.00437,0.0345,0.082,0.437,114.816,243533,71,72,1990,0,0
0.583,0.526,-5.781,0.0291,0.0634,0.000123,0.218,0.313,160.067,329400,65,65,1990,0,0
0.542,0.915,-9.637,0.0549,0.319,5.34E-05,0.171,0.92,159.81,175400,68,60,1990,0,0
0.48,0.535,-10.232,0.0324,0.371,0,0.0929,0.293,75.766,313227,78,76,1990,0,0
0.472,0.946,-4.591,0.145,0.0372,0,0.352,0.486,177.489,201027,67,61,1990,1,0
0.813,0.693,-8,0.266,0.0341,0,0.121,0.618,103.508,391693,63,61,1990,0,0
0.367,0.215,-16.652,0.0288,0.517,0,0.618,0.266,98.742,215840,66,65,1990,0,0
0.641,0.812,-7.945,0.0293,0.155,4.43E-05,0.078,0.822,112.777,257333,66,77,1990,0,0
0.712,0.723,-7.47,0.0377,0.426,0,0.264,0.867,140.566,216173,63,63,1990,0,0
0.685,0.817,-5.683,0.0298,0.15,0,0.242,0.768,130.41,273000,62,63,1990,0,0
0.536,0.854,-6.907,0.0298,0.0129,0.743,0.156,0.905,122.733,162160,61,58,1990,0,0
0.465,0.865,-9.573,0.098,0.018,0.00135,0.0769,0.677,117.528,237893,68,61,1990,0,0
0.369,0.613,-10.847,0.0335,0.025,4.96E-06,0.101,0.338,137.793,246267,61,60,1990,0,0
0.274,0.726,-11.541,0.0449,0.000212,0.0113,0.0993,0.426,146.449,422933,66,72,1990,0,0
0.515,0.387,-7.343,0.0567,0.689,0,0.126,0.312,135.739,239427,74,78,1990,0,0
0.511,0.574,-7.016,0.0273,0.0425,2.33E-05,0.105,0.161,119.917,280040,72,64,1990,0,0
0.52,0.652,-6.655,0.0274,0.34,5.49E-05,0.256,0.722,80.609,258787,72,74,1990,1,0
0.709,0.757,-7.006,0.0408,0.434,0,0.336,0.852,140.664,216693,59,63,1990,0,0
0.688,0.748,-9.39,0.0377,0.0801,0.00453,0.136,0.892,114.144,153813,64,62,1990,0,0
0.618,0.271,-13.695,0.026,0.723,0.000558,0.129,0.264,78.334,251560,60,59,1990,0,0
0.643,0.809,-3.275,0.028,0.45,1.22E-06,0.154,0.499,112.677,250107,70,81,1990,0,0
0.325,0.985,-3.941,0.151,0.00177,0.107,0.351,0.221,125.307,392600,67,72,1990,0,0
0.791,0.759,-7.378,0.129,0.0314,0.674,0.255,0.619,102.382,289693,63,67,1990,0,0
0.407,0.955,-4.164,0.164,0.0251,0,0.347,0.508,177.48,201107,62,61,1990,1,0
0.33,0.433,-12.798,0.042,0.677,0,0.164,0.485,109.864,251667,58,81,1990,0,0
0.674,0.517,-11.225,0.0726,0.226,0,0.0697,0.482,94.98,299733,59,65,1990,0,0
0.827,0.852,-12.052,0.0942,0.115,1.49E-05,0.299,0.635,117.17,298373,59,60,1990,0,0
0.328,0.884,-7.982,0.0338,0.0676,0.0166,0.327,0.686,201.868,346333,62,61,1990,0,0
0.377,0.65,-5.902,0.029,0.00174,5.75E-05,0.107,0.365,180.074,192467,63,61,1990,0,0
0.683,0.9,-7.506,0.105,0.0146,0.0706,0.296,0.616,103.625,213293,56,62,1990,0,0
0.574,0.93,-2.949,0.0413,0.0657,7.78E-06,0.108,0.69,92.303,228067,62,67,1990,0,0
0.435,0.987,-4.667,0.16,0.000195,0.0847,0.268,0.101,103.16,365827,66,71,1990,0,0
0.694,0.47,-13.302,0.0315,0.0438,0,0.0557,0.754,77.967,290933,57,60,1990,0,0
